Box Office Average per Cinema,Number of Theatres in Opening Weekend,Opening Weekend,Market Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Oscar,Bafta
9976,3183,31.7,13.94,139.35,63.30,76.05,10.00,Saw IV,Independent,18,70,Escape,Horror,,
9795,3495,34.2,2.19,186.05,120.06,65.99,85.00,I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,Comedy,,
9791,3408,33.4,3.49,383.53,134.53,249.00,110.00,Live Free or Die Hard,Fox,79,86,Rescue,Action,,
9790,3372,33,2.39,145.71,118.59,27.11,61.00,Blades of Glory,Paramount,69,66,Rivalry,Comedy,,
9679,3928,38,1.91,287.12,126.63,160.49,150.00,Bee Movie,Paramount,52,57,Journey and Return,Animation,,
9233,3730,34.4,4.01,340.49,127.81,212.68,85.00,Enchanted,Disney,93,80,Love,Comedy,,
9042,860,7.8,6.44,161.00,74.28,86.72,25.00,No Country for Old Men,Paramount,95,84,Pursuit,Drama,"Best Picture, Director, Supporting Actor, Adapted Screenplay","Supporting Actor, Director"
8803,3121,27.5,2.70,202.55,118.87,83.68,75.00,Hairspray,Warner Bros.,92,84,Underdog,Musical,,
8726,3153,27.5,1.31,196.26,82.20,114.07,150.00,Beowulf,Paramount,71,52,Journey and Return,Action,,
8654,3604,31.2,0.99,173.39,100.46,72.93,175.00,Evan Almighty,Universal,23,56,Comedy,Comedy,,
7598,2925,22.2,5.89,117.76,80.21,37.55,20.00,Disturbia,Paramount,67,75,Pursuit,Thriller,,
7592,3472,26.4,3.92,78.47,58.27,20.20,20.00,Halloween,The Weinstein Company,26,64,Pursuit,Horror,,
7446,1249,9.3,3.05,152.52,52.90,99.63,50.00,Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Revenge,Musical,,
7396,3103,22.9,6.72,147.87,90.64,57.23,22.00,The Game Plan,Disney,27,75,Discovery,Comedy,,
7361,3413,25.1,1.69,169.33,97.82,71.51,100.00,Meet the Robinsons,Disney,66,75,Quest,Animation,,
7308,3528,25.7,2.07,372.23,70.11,302.13,180.00,The Golden Compass,Warner Bros.,42,55,Rescue,Action,,
6661,2911,19.4,3.87,174.31,93.47,80.84,45.00,The Bucket List,Warner Bros.,41,81,discovery,Drama,,
6644,2801,18.6,4.34,86.87,39.74,47.13,20.00,Epic Movie,Independent,2,38,Comedy,Comedy,,
6599,2218,14.6,3.36,57.10,35.79,21.32,17.00,Smokin' Aces,Universal,27,64,Pursuit,Action,,
6202,2831,17.6,4.20,84.00,47.85,36.14,20.00,Premonition,Sony,8,55,The Riddle,Drama,,
5671,2362,13.4,1.30,84.79,33.08,51.71,65.00,Zodiac,Paramount,89,73,Pursuit,Thriller,,
5587,2855,15.6,2.35,75.10,39.57,35.53,32.00,30 Days of Night,Independent,50,,Monster Force,Horror,,
5502,885,4.9,3.05,76.18,40.22,35.96,25.00,There Will Be Blood,Paramount,91,84,Wretched Excess,Drama,Best Actor,Leading Actor
5362,2458,13.2,5.71,99.96,39.69,60.28,17.50,Hitman,Fox,15,61,Quest,Action,,
