Box Office Average per Cinema,Number of Theatres in Opening Weekend,Opening Weekend,Market Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget ,Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Oscar,Bafta
9891,3911,38.7,2.88,230.50,130.32,100.37,80.0,Get Smart,Warner Bros.,51,73,Pursuit,Action,,
9822,3030,30.1,9.59,103.60,56.75,57.12,10.8,Saw V,Independent,13,63,Monster Force,Crime,,
9325,2976,27.75,8.67,572.20,143.76,465.71,66.0,Mamma Mia!,Universal,53,76,Love,Comedy,,
9114,3215,29.3,5.80,116.00,93.12,54.76,20.0,Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,,
8987,2988,26.85,2.01,322.00,79.01,206.42,160.0,The Curious Case of Benjamin Button,Warner Bros.,73,81,love,Fantasy,,
8562,3560,30.5,2.30,230.00,74.30,153.73,100.0,The Day the Earth Stood Still,Fox,19,34,Sacrifice,Thriller,,
8515,2466,20.99,8.62,77.60,52.60,29.79,9.0,The Strangers,Relativity Media,44,48,Escape,Horror,,
8397,2070,17.38,3.71,37.11,37.11,0.00,10.0,Tyler Perry's The Family That Preys,Independent,51,36,Discovery,Drama,,
8305,3510,29.2,2.20,175.90,101.18,76.62,80.0,Eagle Eye,Paramount,27,72,pursuit,Action,,
8148,839,6.84,66.90,33.45,33.45,0.02,0.5,Fireproof,Independent,40,51,love,Drama,,
8004,2213,17.7,2.98,38.80,37.93,0.87,13.0,First Sunday,Independent,13,59,Comedy,Comedy,,
7980,3428,27.4,2.69,222.20,80.17,142.06,82.5,Jumper,Fox,16,50,Rescue,Action,,
7777,3319,25.81,2.09,188.00,110.46,77.58,90.0,Tropic Thunder,Paramount,83,69,fish out of water,Comedy,,
7756,2711,21.03,2.45,184.00,60.69,117.20,75.0,Valkyrie,MGM,58,66,Sacrifice,Thriller,,
7705,2700,20.81,3.18,57.20,43.87,,18.0,Prom Night,Independent,8,46,escape,Horror,,
7655,2470,18.91,8.47,148.20,58.02,92.80,17.5,Step Up 2: The Streets,Disney,26,81,underdog,Drama,,
7567,3072,23.2,3.90,101.50,87.34,14.28,26.0,Pineapple Express,Sony,68,74,Comedy,Action,,
7526,3057,23.01,5.34,160.30,76.81,83.50,30.0,27 Dresses,Fox,40,71,Love,Comedy,,
7477,2811,21.0,4.90,220.70,101.70,140.29,45.0,Journey to the Center of the Earth,Warner Bros.,61,55,Quest,Action,,
