Box Office Average per Cinema,Number of Theatres in Opening Weekend (US),Opening Weekend,Proftitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Oscar,Bafta
9970,3612,36,2.67,293.5,118.31,175.19,110,Salt,Sony,62,62,Revenge,Action,,
9875,3332,32.9,3.30,115.66,63.08,52.59,35,A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,,
9770,3222,31.5,0.93,139.79,61.98,77.81,150,The Wolfman,Universal,33,38,Monster Force,Drama,,
9743,3944,46.02,2.48,321.88,144.67,173.46,130,Megamind,Paramount,72,73,Transformation,Animation,,
9743,3355,32.69,4.01,200.55,99.65,100.9,50,Due Date,Warner Bros.,40,56,Comedy,Comedy,,
9735,3651,35.5,1.70,170.27,119.22,51.05,100,The Other Guys,Sony,78,57,Comedy,Action,,
9308,3356,31.2,2.38,226.5,88.77,137.73,95,Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,,
9298,2206,20.5,2.13,68.16,57.74,10.42,32,Takers,Sony,27,57,Rivalry,Action,,
9277,2669,24.8,3.17,126.74,52,74.74,40,Predators,Fox,64,52,Monster Force,Action,,
9115,11,0.103,9.19,18.38,1.04,17.33,2,Buried,Independent,86,63,Escape,Drama,,
8742,959,8.38,25.34,329.39,106.95,222.44,13,Black Swan,Fox,88,86,Wretched Excess,Drama,Best Actress,
8720,3536,30.83,2.33,232.7,123.69,109.01,100,Little Fockers,Independent,9,40,Comedy,Comedy,,
8322,2856,23.8,3.91,144.55,92.18,52.37,37,The Town,Warner Bros.,94,83,Rivalry,Crime,,
8320,3203,26.7,4.94,296.22,60.13,236.09,60,Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,,
8149,3047,24,6.60,250.93,171,79,38,True Grit,Paramount,96,86,,,,
8100,2771,22.4,3.99,199.6,94.08,105.52,50,The Social Network,Sony,96,89,Rags to Riches,Biography,,
8082,2911,23.5,1.25,86.41,73.03,13.38,69,Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,,
8024,2808,22.53,6.13,122.51,45.71,76.8,20,Saw 3-D,Independent,10,47,Escape,Crime,,
"8,202","2,619",21,,152,67,85,55,Average,,49,57,,,,
7497,3082,23.1,3.41,204.48,80.57,123.91,60,Eat Pray Love,Sony,36,46,Journey and Return,Drama,,
7471,3374,25.2,2.77,152.26,98.71,53.55,55,Date Night,Fox,66,58,Pursuit,Comedy,,
7262,3535,25.7,1.77,177.03,77.22,99.81,100,The A-Team,Fox,47,71,Pursuit,Action,,
7191,3077,22.1,5.05,75.7,64,11.7,15,Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,,
7087,2874,20.4,36.92,66.46,41.03,25.42,1.8,The Last Exorcism,Independent,73,32,Monster Force,Drama,,
7075,3207,22.69,1.46,146.02,80.02,66,100,Unstoppable,Fox,86,73,Rescue,Action,,
7069,2476,17.5,2.61,67.91,40.17,27.74,26,Legion,Independent,19,36,Monster Force,Action,,
6896,1936,13.4,2.14,36.31,27.2,9.15,17,Brooklyn's Finest,Independent,42,47,Temptation,Action,,
6752,3555,24,2.68,415.68,104,311,155,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,,
6729,3074,20.7,3.41,136.32,67.06,69.26,40,The Bounty Hunter,Sony,7,41,Rivalry,Action,,
6686,3255,21.8,2.83,164.42,89.84,74.58,58,Red,Summit,71,72,Rivalry,Action,,
6595,2459,16.2,2.34,49.05,42.74,6.31,21,Death at a Funeral,Independent,40,48,Comedy,Comedy,,
6515,2697,17.6,2.28,91.39,60.97,30.42,40,Get Him to the Greek,Universal,73,63,Comedy,Comedy,,
6501,3098,20.2,2.24,261.68,76.42,185.26,117,Knight and Day,Fox,53,52,Pursuit,Action,,
6494,2435,15.8,5.31,159.15,42.4,116.75,30,Step Up 3D,Summit,46,67,Transformation,Drama,,
6489,2476,16.07,2.73,54.59,39.12,15.47,20,The Crazies,Liberty Starz,72,54,Monster Force,Horror,,
