Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar,Bafta
Average,,,,,,,,,,,,,,,
2012,Sony,39,63,Escape,Action,3404,19165,165.600000000000000,602.40,767.90,200,3.84,65.3,,
(500) Days of Summer ,Fox,87,81,Love,Comedy,817,4577,48.300000000000000,9.30,58.60,7.5,7.81,3.8,,
17 Again ,Independent,55,70,Maturation,Comedy,3255,7288,64.200000000000000,72.10,136.30,20,6.82,23.7,,
A Christmas Carol,Disney,52,72,Transformation,Animation,3683,8159,137.900000000000000,185.70,323.60,190,1.70,30.1,,
A Serious Man ,Universal,89,64,Love,Drama,6,41890,9.200000000000000,7.10,20.50,7,2.93,0.3,,
Alvin and the Chipmunks: The Squeakquel ,Independent,21,59,Comedy,Animation,3700,13210,219.500000000000000,221.30,440.70,75,5.88,48.8,,
Angels & Demons ,Sony,36,65,The Riddle,Mystery,3527,13100,133.400000000000000,352.60,485.90,150,3.24,46.2,,
Avatar ,Fox,83,92,Metamorphosis,Action,3452,22313,743.800000000000000,"1,969.00","2,712.85",237,11.45,77,,
Bride Wars ,Fox,11,56,Comedy,Comedy,3226,6528,100.400000000000000,13.40,114.70,30,3.82,21.1,,
Bruno ,Universal,68,48,Comedy,Comedy,2756,11110,60.100000000000000,70.70,130.80,42,3.11,30.6,,
Cloudy with a Chance of Meatballs ,Sony,86,70,Comedy,Animation,3119,9716,124.900000000000000,87.80,212.70,100,2.13,30.3,,
Coraline ,Universal,89,77,Journey and Return,Animation,2299,7329,75.300000000000000,46.60,121.90,60,2.03,16.8,,
Couples Retreat ,Universal,12,47,Comedy,Comedy,3000,11429,109.200000000000000,57.20,166.40,60,2.77,34.3,,
"420.00""",19.6,,,http://www.the-numbers.com/movies/records/allbudgets.php,,,,,,,,,,,
Paul Blart: Mall Cop ,Sony,33,50,Comedy,Action,3144,10125,80.000000000000000,103.30,183.30,26,7.05,31.8,,
Planet 51 ,Independent,22,45,Comedy,Animation,3035,4048,51.900000000000000,19.60,73.40,50,1.47,12.3,,
Saw VI ,Independent,40,67,Escape,Horror,3036,4650,31.800000000000000,17.00,49.30,11,4.48,14.1,,
Sherlock Holmes ,Warner Bros.,70,81,The Riddle,Action,3626,17183,197.600000000000000,197.00,394.60,90,4.38,62.3,,
Star Trek ,Paramount,94,91,Revenge,Action,3849,19539,257.700000000000000,127.80,385.50,140,2.75,75.2,,
Taken ,Independent,58,83,Pursuit,Action,3183,7765,145.000000000000000,81.80,226.80,25,9.07,24.7,,
Terminator Salvation ,Independent,33,64,Monster Force,Action,3530,12056,125.300000000000000,246.70,372.00,200,1.86,42.6,,
The Blind Side ,Independent,65,90,Rags To Riches,Biography,3110,10971,255.800000000000000,39.30,295.10,29,10.18,34.1,Best Actress,
Fantastic Mr. Fox ,Fox,93,80,Rivalry,Animation,2033,3426,20.500000000000000,21.80,42.78,40,1.07,7,,
The Final Destination ,Warner Bros.,29,52,Escape,Horror,3121,8782,66.500000000000000,86.10,152.60,40,3.82,27.4,,
The Hangover ,Warner Bros.,79,87,Comedy,Comedy,3269,13759,277.300000000000000,190.00,467.30,35,13.35,45,,
The Hurt Locker ,Independent,97,83,Quest,Drama,4,36338,14.700000000000000,3.40,18.10,15,1.21,0.14,"Best Picture, Director, Original Screenplay","Film, Director, Original Screenplay"
The Lovely Bones ,Paramount,32,57,Tragedy,Drama,2563,6635,44.000000000000000,48.30,92.30,65,1.42,17,,
The Men Who Stare at Goats ,Independent,52,43,Comedy,Comedy,2443,5201,32.400000000000000,15.80,48.20,24,2.01,12.7,,
The Proposal ,Disney,43,74,Love,Comedy,3056,11004,164.000000000000000,150.70,314.70,40,7.87,33.6,,
The Road ,The Weinstein Company,75,65,Quest,Adventure,111,13534,7.900000000000000,6.50,14.30,25,0.57,1.5,,
The Taking of Pelham 1 2 3 ,Sony,51,60,Rescue,Action,3074,7603,65.500000000000000,84.60,150.00,110,1.36,4.7,,
The Time Traveler's Wife ,Paramount,38,65,Love,Drama,2988,6233,40.600000000000000,37.60,79.70,39,2.04,18.6,,
The Twilight Saga: New Moon ,Summit,27,78,Love,Drama,4024,35497,293.800000000000000,410.30,704.20,50,14.08,142.8,,
The Ugly Truth ,Independent,14,68,Love,Comedy,2882,9579,88.900000000000000,116.40,205.30,38,5.40,27.6,,
The Unborn,Relativity Media,11,39,Monster Force,Horror,2357,8405,35.900000000000000,40.00,76.50,16,4.78,19.8,,
Transformers: Revenge of the Fallen ,Paramount,20,76,Revenge,Action,4234,25736,402.100000000000000,434.20,836.30,210,3.98,109,,
