Film ,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta
Average,,49,57,,,"2,619","8,202",67,85,152,55,,21,,
127 Hours,Independent,93,84,Escape,Adventure,916,2333,18.33,42.4,60.73,18,3.37,0.26,,
A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,3332,9875,63.08,52.59,115.66,35,3.30,32.9,,
Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,31143,334.19,690.2,1024.39,200,5.12,116.1,,
All About Steve ,Independent,6,35,Comedy,Comedy,2251,4994,33.860000000000000,6.26,40.13,15,2.68,11.2,,
Alpha and Omega,Crest,17,41,Journey and Return,Animation,2625,3469,25.12,4.8,29.91,20,1.50,9.1,,
Black Swan        ,Fox,88,86,Wretched Excess,Drama,959,8742,106.95,222.44,329.39,13,25.34,8.38,Best Actress,
Brooklyn's Finest,Independent,42,47,Temptation,Action,1936,6896,27.2,9.15,36.31,17,2.14,13.4,,
Buried,Independent,86,63,Escape,Drama,11,9115,1.04,17.33,18.38,2,9.19,0.103,,
Burlesque,Paramount,36,66,Rags to Riches,Drama,3037,3934,38.24,17.84,56.08,55,1.02,11.95,,
Case 39,Independent,23,42,Monster Force,Horror,2211,2420,13.26,14.93,28.19,26,1.08,5.4,,
Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,3705,3314,43.59,68.9,112.48,85,1.32,12.3,,
Charlie St. Cloud,Universal,27,62,Discovery,Fantasy,2718,4555,31.16,14.93,46.09,44,1.05,12.4,,
City Island,Independent,81,77,Transformation,Comedy,2,,6.67,1.19,7.86,6,1.31,0.032,,
Clash of the Titans,Warner Bros.,28,48,Quest,Action,3777,16213,163.21,330,493.21,125,3.95,61.2,,
Cyrus,Independent,80,51,Rivalry,Comedy,4,45429,7.47,2.45,9.92,7,1.42,0.18,,
Date Night,Fox,66,58,Pursuit,Comedy,3374,7471,98.71,53.55,152.26,55,2.77,25.2,,
Daybreakers,Lionsgate,67,50,Discovery,Action,2523,6003,30.1,21.31,51.42,20,2.57,15.1,,
Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.98,25,4.60,30.4,,
Death at a Funeral,Independent,40,48,Comedy,Comedy,2459,6595,42.74,6.31,49.05,21,2.34,16.2,,
Despicable Me,Universal,81,81,Maturation,Animation,3476,16225,251.38,290.5,541.88,69,7.85,56.4,,
Devil,Independent,52,45,Monster Force,Horror,2809,4375,33.6,23.23,56.83,10,5.68,12.3,,
Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,3077,7191,64,11.7,75.7,15,5.05,22.1,,
Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,2911,8082,73.03,13.38,86.41,69,1.25,23.5,,
Due Date,Warner Bros.,40,56,Comedy,Comedy,3355,9743,99.65,100.9,200.55,50,4.01,32.69,,
Easy A,Sony,85,75,Maturation,Comedy,2856,6209,58.4,15.24,73.64,8,9.21,17.7,,
Eat Pray Love,Sony,36,46,Journey and Return,Drama,3082,7497,80.57,123.91,204.48,60,3.41,23.1,,
Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,3066,5615,43.31,37.81,81.12,80,1.01,17.2,,
Extraordinary Measures,CBS,27,55,Underdog,Drama,2549,2359,12.07,3.07,15.13,31,0.49,6,,
Faster,CBS,41,50,Revenge,Action,2454,3873,22.94,1.97,24.91,24,1.04,8.52,,
From Paris with Love,Independent,38,57,Pursuit,Action,2722,2997,24.08,28.72,52.8,52,1.02,8.2,,
Furry Vengeance,Summit,8,36,Comedy,Comedy,2997,2211,17.63,18.34,35.97,35,1.03,6.6,,
Get Him to the Greek,Universal,73,63,Comedy,Comedy,2697,6515,60.97,30.42,91.39,40,2.28,17.6,,
Going the Distance,Warner Bros.,53,56,Love,Comedy,3030,2272,17.8,24.25,42.05,32,1.31,6.9,,
Green Zone,Universal,53,60,Quest,Action,3003,4765,35.05,59.82,94.88,100,0.95,14.3,,
Grown Ups,Independent,10,59,Comedy,Comedy,3534,11462,161.9,105.5,267.4,80,3.34,40.5,,
Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,2546,2477,42,194,237.38,112,2.12,6.3,,
Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,4125,30307,295,660,955.41,125,7.64,125,,
Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,2754,5091,50.29,14.13,64.42,36,1.79,14,,
How to Train Your Dragon,Paramount,98,90,Underdog,Animation,4055,10785,217.58,277.3,494.88,165,3.00,43.7,,
I Love You Phillip Morris,Independent,71,57,Love,Comedy,100,,1.44,18.66,20.1,15,1.34,0.11,,
Inception,Warner Bros.,86,93,Journey and Return,Action,3792,16557,292.58,531,823.58,160,5.15,62.8,,
Iron Man 2,Paramount,74,80,Rivalry,Action,4380,29252,312.43,309.62,622.1,200,3.11,128.1,,
Jackass 3-D,Paramount,63,72,Comedy,Documentary,3081,16343,117.19,52.76,169.95,20,8.50,50.4,,
Jonah Hex,Warner Bros.,13,24,Revenge,Action,2825,1904,10.55,0.36,10.9,47,0.23,5.4,,
Kick-Ass,Independent,76,83,Rivalry,Action,3065,6469,48.07,48.06,96.13,30,3.20,19.8,,
Killers,Lionsgate,11,45,Love,Action,2859,5539,47.06,46.34,93.4,75,1.25,15.8,,
Knight and Day,Fox,53,52,Pursuit,Action,3098,6501,76.42,185.26,261.68,117,2.24,20.2,,
Leap Year,Universal,21,49,Love,Comedy,2511,3665,25.9,6.69,32.61,19,1.72,9.2,,
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,3575,4507,55.64,84.26,139.9,80,1.75,16.1,,
Legion,Independent,19,36,Monster Force,Action,2476,7069,40.17,27.74,67.91,26,2.61,17.5,,
Letters to Juliet,Summit,40,62,Love,Comedy,2968,4562,53.03,26.15,79.18,30,2.64,13.5,,
Life as We Know It,Independent,28,62,Love,Comedy,3150,4605,53.13,43.03,96.16,38,2.53,14.5,,
Little Fockers,Independent,9,40,Comedy,Comedy,3536,8720,123.69,109.01,232.7,100,2.33,30.83,,
Love & Other Drugs,Fox,48,55,Love,Comedy,2455,3967,31.68,22.85,54.53,30,1.82,9.74,,
MacGruber,Independent,47,33,Comedy,Action,2551,1585,8.53,0.8,9.32,10,0.93,4,,
Machete,Independent,73,66,Revenge,Action,2670,4276,26.59,15.55,42.15,20,2.11,11,,
Marmaduke,Fox,9,46,Rivalry,Comedy,3213,3610,33.64,49.71,83.36,50,1.67,11.6,,
Megamind,Paramount,72,73,Transformation,Animation,3944,9743,144.67,173.46,321.88,130,2.48,46.02,,
Mother and Child,Independent,79,61,Transformation,Drama,4,,1.11,3.76,4.87,7,0.70,0.43,,
Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,2784,3020,29.01,64.23,93.25,35,2.66,8.4,,
Paranormal Activity 2,Paramount,,,Monster Force,Horror,3216,12649,84.75,92.75,177.51,3,59.17,40.67,,
Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,3356,9308,88.77,137.73,226.5,95,2.38,31.2,,
Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,2470,4092,25,54.78,79.78,24,3.32,10.1,,
Predators,Fox,64,52,Monster Force,Action,2669,9277,52,74.74,126.74,40,3.17,24.8,,
Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,3646,3646,90.76,244.39,335.15,200,1.68,30,,
Red,Summit,71,72,Rivalry,Action,3255,6686,89.84,74.58,164.42,58,2.83,21.8,,
Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.79,55.85,16,3.49,8,,
Repo Men,Universal,22,43,Rescue,Action,2521,2430,13.79,4.62,18.41,32,0.58,6.1,,
Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60,4.94,26.7,,
Robin Hood,Universal,42,59,Rivalry,Action,3503,10295,105.27,216.4,321.67,200,1.61,36,,
Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.5,110,2.67,36,,
Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,76.8,122.51,20,6.13,22.53,,
Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.05,47.58,60,0.79,10.6,,
Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,3445,95.35,193,288.35,100,2.88,31,,
She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,16.8,48.81,20,2.44,9.8,,
Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,16251,238.74,510.06,748.8,165,4.54,70.8,,
Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.8,80,3.69,41,,
Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,33.87,55.26,10,5.53,11.69,,
Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.7,5.06,15,0.34,0.09,,
Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.4,116.75,159.15,30,5.31,15.8,,
Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,6.59,8.4,22,0.38,0.075,,
Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,10.42,68.16,32,2.13,20.5,,
Tangled,Disney,89,88,Love,Animation,3603,13535,175.78,179.3,355.08,260,1.37,48.77,,
The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,99.81,177.03,100,1.77,25.7,,
The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,10.39,46,20,2.30,13.1,,
The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.6,77.1,35,2.20,12.2,,
The Book of Eli        ,Independent,48,68,Quest,Action,3111,10540,94.84,58.62,153.45,80,1.92,32.7,,
The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.26,136.32,40,3.41,20.7,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104,311,415.68,155,2.68,24,,
The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.47,54.59,20,2.73,16.07,,
The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.4,274.47,82,3.35,34.8,,
The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93,35,129.19,25,5.17,12,"Sup. Actor, Sup. Actress",
The Ghost Writer,Independent,83,68,The Riddle,Mystery,4,,15.54,44.48,60.02,45,1.33,2,,
The Greatest,Independent,52,39,Discovery,Drama,,,0.11,0.3,0.41,6,0.07,0.3,,
The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,6.41,10,0.64,0.51,,
The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.13,40,8.98,55.7,,
The Kids Are All Right,Independent,94,72,Comedy,Comedy,847,4162,20.81,8.55,29.37,4,7.34,3.5,,
The Killer Inside Me,Independent,56,41,The Riddle,Crime,,,0.22,3.36,3.58,13,0.28,11.1,,
The King's Speech,Independent,95,93,Maturation,Biography,700,6406,,,245.2,15,16.35,4.4,"Best Picture, Director,  Actor, Orig. Screenplay",
The Last Airbender,Paramount,6,42,Quest,Action,3169,12725,131.77,187.35,319.12,150,2.13,40.3,,
The Last Exorcism,Independent,73,32,Monster Force,Drama,2874,7087,41.03,25.42,66.46,1.8,36.92,20.4,,
The Last Song,Disney,19,66,Discovery,Drama,2673,5989,62.95,26.09,89.04,20,4.45,16,,
The Losers,Warner Bros.,47,55,Revenge,Action,2936,3204,23.59,5.79,29.38,25,1.18,9.4,,
The Next Three Days,Lionsgate,51,66,Rescue,Crime,2564,2552,21.15,20.6,41.75,30,1.39,6.54,,
The Other Guys,Sony,78,57,Comedy,Action,3651,9735,119.22,51.05,170.27,100,1.70,35.5,,
The Runaways,Independent,68,56,Maturation,Biography,244,3300,3.57,1.11,4.68,10,0.47,0.8,,
The Social Network,Sony,96,89,Rags to Riches,Biography,2771,8100,94.08,105.52,199.6,50,3.99,22.4,,
The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,3504,5028,63.15,152.13,215.28,150,1.44,17.6,,
The Switch,Independent,52,44,Comedy,Comedy,2012,4193,27.78,19.95,47.73,19,2.51,8.4,,
The Tourist,Sony,20,44,,,2756,5977,67,210,278.34,100,2.78,16,,
The Town,Warner Bros.,94,83,Rivalry,Crime,2856,8322,92.18,52.37,144.55,37,3.91,23.8,,
The Twilight Saga: Eclipse,Summit,50,74,Monster Force,Drama,4468,14510,300.53,393.05,693.58,68,10.20,64.8,,
The Wolfman,Universal,33,38,Monster Force,Drama,3222,9770,61.98,77.81,139.79,150,0.93,31.5,,
Toy Story 3,Disney,99,91,Rescue,Animation,4028,27385,415,648.16,1063.16,200,5.32,110.3,,
Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,3451,12578,148.21,143.2,291.41,170,1.71,44.03,,
True Grit,Paramount,96,86,,,3047,8149,171,79,250.93,38,6.60,24,,
Unstoppable,Fox,86,73,Rescue,Action,3207,7075,80.02,66,146.02,100,1.46,22.69,,
Valentine's Day,Warner Bros.,17,54,Love,Comedy,3655,15351,110.49,106,216.49,52,4.16,56.2,,
Vampires Suck,Independent,4,32,Comedy,Comedy,3233,3774,36.66,43.32,79.98,20,4.00,12.2,,
Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,3565,5333,52.47,78.16,130.63,70,1.87,19,,
Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,2155,13591,60.09,0.58,60.67,20,3.03,29.3,,
Winter's Bone,Independent,94,73,Quest,Drama,?,,6.25,1.54,7.8,2,3.90,0.8,,
Yogi Bear,,14,36,,Comedy,3515,4669,100,101,201.58,80,2.52,16.4,,
You Again,Independent,18,45,Comedy,Comedy,2548,3300,25.7,6.16,31.86,20,1.59,8.4,,
You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,402,,3.24,23.42,26.66,22,1.21,0.16,,
Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,1873,3678,15.28,4.34,19.62,18,1.09,6.9,,
