Box Office Average per Cinema,Number of Theatres in Opening Weekend,Opening Weekend,Market Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Oscar,Bafta
9716,3119,30.3,2.13,212.70,124.900000000000000,87.80,100,Cloudy with a Chance of Meatballs,Sony,86,70,Comedy,Animation,,
9579,2882,27.6,5.40,205.30,88.900000000000000,116.40,38,The Ugly Truth,Independent,14,68,Love,Comedy,,
8782,3121,27.4,3.82,152.60,66.500000000000000,86.10,40,The Final Destination,Warner Bros.,29,52,Escape,Horror,,
8754,3735,32.7,0.85,85.30,63.400000000000000,16.30,100,Where the Wild Things Are,Warner Bros.,73,59,Journey and Return,Adventure,,
8405,2357,19.8,4.78,76.50,35.900000000000000,40.00,16,The Unborn,Relativity Media,11,39,Monster Force,Horror,,
8159,3683,30.1,1.70,323.60,137.900000000000000,185.70,190,A Christmas Carol,Disney,52,72,Transformation,Animation,,
8147,3036,24.7,3.95,93.30,49.200000000000000,42.50,23.6,Zombieland,Sony,90,87,Monster Force,Action,,
7765,3183,24.7,9.07,226.80,145.000000000000000,81.80,25,Taken,Independent,58,83,Pursuit,Action,,
7603,3074,4.7,1.36,150.00,65.500000000000000,84.60,110,The Taking of Pelham 1 2 3,Sony,51,60,Rescue,Action,,
7329,2299,16.8,2.03,121.90,75.300000000000000,46.60,60,Coraline,Universal,89,77,Journey and Return,Animation,,
7288,3255,23.7,6.82,136.30,64.200000000000000,72.10,20,17 Again,Independent,55,70,Maturation,Comedy,,
7080,2942,20.8,2.60,91.10,37.000000000000000,50.80,35,Underworld: Rise of the Lycans,Sony,30,68,Rivalry,Action,,
6635,2563,17,1.42,92.30,44.000000000000000,48.30,65,The Lovely Bones,Paramount,32,57,Tragedy,Drama,,
6528,3226,21.1,3.82,114.70,100.400000000000000,13.40,30,Bride Wars,Fox,11,56,Comedy,Comedy,,
