Box Office Average per Cinema,Number of Theatres in Opening Weekend (US),Opening Weekend,Proftitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Oscar,Bafta
9970,3612,36,266.82%,293.5,118.31,175.19,110,Salt,Sony,62,62,Revenge,Action,,
9875,3332,32.9,330.46%,115.66,63.08,52.59,35,A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,,
9770,3222,31.5,93.19%,139.79,61.98,77.81,150,The Wolfman,Universal,33,38,Monster Force,Drama,,
9743,3944,46.02,247.60%,321.88,144.67,173.46,130,Megamind,Paramount,72,73,Transformation,Animation,,
9743,3355,32.69,401.10%,200.55,99.65,100.9,50,Due Date,Warner Bros.,40,56,Comedy,Comedy,,
9735,3651,35.5,170.27%,170.27,119.22,51.05,100,The Other Guys,Sony,78,57,Comedy,Action,,
9308,3356,31.2,238.42%,226.5,88.77,137.73,95,Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,,
9298,2206,20.5,213.00%,68.16,57.74,10.42,32,Takers,Sony,27,57,Rivalry,Action,,
9277,2669,24.8,316.85%,126.74,52,74.74,40,Predators,Fox,64,52,Monster Force,Action,,
9115,11,0.103,919.00%,18.38,1.04,17.33,2,Buried,Independent,86,63,Escape,Drama,,
8742,959,8.38,2533.77%,329.39,106.95,222.44,13,Black Swan,Fox,88,86,Wretched Excess,Drama,Best Actress,
8720,3536,30.83,232.70%,232.7,123.69,109.01,100,Little Fockers,Independent,9,40,Comedy,Comedy,,
8322,2856,23.8,390.68%,144.55,92.18,52.37,37,The Town,Warner Bros.,94,83,Rivalry,Crime,,
8320,3203,26.7,493.70%,296.22,60.13,236.09,60,Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,,
8149,3047,24,660.34%,250.93,171,79,38,True Grit,Paramount,96,86,,,,
8100,2771,22.4,399.20%,199.6,94.08,105.52,50,The Social Network,Sony,96,89,Rags to Riches,Biography,,
8082,2911,23.5,125.23%,86.41,73.03,13.38,69,Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,,
8024,2808,22.53,612.55%,122.51,45.71,76.8,20,Saw 3-D,Independent,10,47,Escape,Crime,,
"8,202","2,619",21,363.48%,152,67,85,55,Average,,49,57,,,,
7497,3082,23.1,340.80%,204.48,80.57,123.91,60,Eat Pray Love,Sony,36,46,Journey and Return,Drama,,
7471,3374,25.2,276.84%,152.26,98.71,53.55,55,Date Night,Fox,66,58,Pursuit,Comedy,,
7262,3535,25.7,177.03%,177.03,77.22,99.81,100,The A-Team,Fox,47,71,Pursuit,Action,,
7191,3077,22.1,504.67%,75.7,64,11.7,15,Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,,
7087,2874,20.4,3692.22%,66.46,41.03,25.42,1.8,The Last Exorcism,Independent,73,32,Monster Force,Drama,,
7075,3207,22.69,146.02%,146.02,80.02,66,100,Unstoppable,Fox,86,73,Rescue,Action,,
7069,2476,17.5,261.19%,67.91,40.17,27.74,26,Legion,Independent,19,36,Monster Force,Action,,
6896,1936,13.4,213.59%,36.31,27.2,9.15,17,Brooklyn's Finest,Independent,42,47,Temptation,Action,,
6752,3555,24,268.18%,415.68,104,311,155,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,,
6729,3074,20.7,340.80%,136.32,67.06,69.26,40,The Bounty Hunter,Sony,7,41,Rivalry,Action,,
6686,3255,21.8,283.48%,164.42,89.84,74.58,58,Red,Summit,71,72,Rivalry,Action,,
6595,2459,16.2,233.57%,49.05,42.74,6.31,21,Death at a Funeral,Independent,40,48,Comedy,Comedy,,
6515,2697,17.6,228.48%,91.39,60.97,30.42,40,Get Him to the Greek,Universal,73,63,Comedy,Comedy,,
6501,3098,20.2,223.66%,261.68,76.42,185.26,117,Knight and Day,Fox,53,52,Pursuit,Action,,
6494,2435,15.8,530.50%,159.15,42.4,116.75,30,Step Up 3D,Summit,46,67,Transformation,Drama,,
6489,2476,16.07,272.95%,54.59,39.12,15.47,20,The Crazies,Liberty Starz,72,54,Monster Force,Horror,,
6469,3065,19.8,320.43%,96.13,48.07,48.06,30,Kick-Ass,Independent,76,83,Rivalry,Action,,
6406,700,4.4,1634.67%,245.2,,,15,The King's Speech,Independent,95,93,Maturation,Biography,"Best Picture, Director,  Actor, Orig. Screenplay",
6209,2856,17.7,920.50%,73.64,58.4,15.24,8,Easy A,Sony,85,75,Maturation,Comedy,,
6003,2523,15.1,257.10%,51.42,30.1,21.31,20,Daybreakers,Lionsgate,67,50,Discovery,Action,,
5989,2673,16,445.20%,89.04,62.95,26.09,20,The Last Song,Disney,19,66,Discovery,Drama,,
5977,2756,16,278.34%,278.34,67,210,100,The Tourist,Sony,20,44,,,,
5615,3066,17.2,101.40%,81.12,43.31,37.81,80,Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,,
5539,2859,15.8,124.53%,93.4,47.06,46.34,75,Killers,Lionsgate,11,45,Love,Action,,
5333,3565,19,186.61%,130.63,52.47,78.16,70,Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,,
5091,2754,14,178.94%,64.42,50.29,14.13,36,Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,,
5028,3504,17.6,143.52%,215.28,63.15,152.13,150,The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,,
4994,2251,11.2,267.53%,40.13,33.860000000000000,6.26,15,All About Steve,Independent,6,35,Comedy,Comedy,,
4848,2503,12,516.76%,129.19,93,35,25,The Fighter,Paramount,91,88,Underdog,Drama,"Sup. Actor, Sup. Actress",
4765,3003,14.3,94.88%,94.88,35.05,59.82,100,Green Zone,Universal,53,60,Quest,Action,,
4669,3515,16.4,251.98%,201.58,100,101,80,Yogi Bear,,14,36,,Comedy,,
4668,2823,13.1,230.00%,46,35.61,10.39,20,The American,Universal,66,37,Rivalry,Crime,,
4605,3150,14.5,253.05%,96.16,53.13,43.03,38,Life as We Know It,Independent,28,62,Love,Comedy,,
4562,2968,13.5,263.93%,79.18,53.03,26.15,30,Letters to Juliet,Summit,40,62,Love,Comedy,,
4555,2718,12.4,104.75%,46.09,31.16,14.93,44,Charlie St. Cloud,Universal,27,62,Discovery,Fantasy,,
45429,4,0.18,141.71%,9.92,7.47,2.45,7,Cyrus,Independent,80,51,Rivalry,Comedy,,
4507,3575,16.1,174.88%,139.9,55.64,84.26,80,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,,
4375,2809,12.3,568.30%,56.83,33.6,23.23,10,Devil,Independent,52,45,Monster Force,Horror,,
4276,2670,11,210.75%,42.15,26.59,15.55,20,Machete,Independent,73,66,Revenge,Action,,
4193,2012,8.4,251.21%,47.73,27.78,19.95,19,The Switch,Independent,52,44,Comedy,Comedy,,
4162,847,3.5,734.25%,29.37,20.81,8.55,4,The Kids Are All Right,Independent,94,72,Comedy,Comedy,,
