Box Office Average per US Cinema (Opening Weekend),Number of Theatres in US Opening Weekend,Opening Weekend,Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Oscar,Bafta
9722,3917,38.08,181.60%,245.15,123.26,121.90,135,Rango,Paramount,88,69,Fish Out Of Water,Animation,,
9715,3750,36.43,107.25%,174.82,100.24,74.58,163,Cowboys and Aliens,Universal,44,50,Monster Force,Action,,
9335,3584,33.50,189.83%,227.80,98.80,129.00,120,The Green Hornet,Columbia,44,47,Rivalry,Action,,
93230,4,0.37,169.70%,54.30,13.30,41.00,32,The Tree Of Life,Independant,84,61,Discovery,Drama,,
9310,3040,28.30,598.97%,209.64,117.54,92.10,35,Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,,
8995,2918,26.25,887.33%,288.38,169.11,119.28,32.5,Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,,
8899,1277,11.36,,,,,,Hugo,Paramount,93,84,,Adventure,,
8623,3952,34.08,218.76%,284.39,142.09,142.30,130,Puss In Boots,DreamWorks,83,76,Quest,Animation,,
8601,3548,30.51,268.68%,214.95,103.03,111.92,80,Just Go With It,Happy Madison,19,63,Comedy,Romance,,
8500,3440,29.24,160.95%,72.43,66.63,5.80,45,The Muppets,Disney,97,87,Quest,Comedy,,
8469,2994,25.36,538.80%,193.97,99.97,94.00,36,Gnomeo and Juliet,Disney,56,52,Love,Animation,,
7942,3440,27.32,245.28%,269.81,83.61,186.20,110,Real Steel,DreamWorks Pictures,58,81,Underdog,Action,,
7500,3167,23.75,344.84%,72.42,52.70,19.72,21,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,,
7450,2840,21.16,254.72%,127.87,62.50,65.37,50.2,The Adjustment Bureau,Independant,72,67,Sacrifice,Thriller,,
7273,3438,25.00,106.22%,83.91,68.91,15.00,79,Jack and Jill,Happy Madison,4,59,Comedy,Comedy,,
7183,3043,21.86,435.95%,130.79,63.69,67.10,30,Unknown,Independant,55,57,The Riddle,Thriller,,
7174,247,1.75,82.58%,8.26,5.31,2.95,10,My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,,
7135,3367,24.03,162.01%,121.50,74.50,47.00,75,Tower Heist,Relativity,68,61,Revenge,Comedy,,
6935,3222,22.40,225.74%,135.44,75.64,59.80,60,Contagion,Warner Bros,84,63,The Riddle,Thriller,,
6860,2756,18.91,599.44%,161.85,79.25,82.60,27,Limitless,Virgin,69,73,Wretched Excess,Thriller,,
6516,2993,19.50,204.22%,102.11,74.21,27.90,50,Moneyball,Columbia,95,89,Underdog,Drama,,
6512,3018,19.70,590.80%,147.70,70.60,77.10,25,No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,,
6364,2926,18.62,427.26%,149.54,55.80,93.74,35,Friends With Benefits,Warner Bros,71,68,Temptation,Romance,,
6326,3020,19.10,285.68%,142.84,84.34,58.50,50,"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,,
6284,3033,19.06,109.50%,89.79,36.39,53.40,82,Sucker Punch,Legendary Pictures,23,48,Quest,Action,,
61777,944,5.83,818.69%,139.18,56.18,83.00,17,Midnight in Paris,Sony,93,84,Love,Romance,,
