exclude,Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend Revenue,Oscar
,Average,,50.72,68.01,,,2754.85,8189.84,86.10,105.38,191.47,62.93,3.61,25.78,
,Juno,Fox,94,89,Maturation,Comedy,1019,10436,143.50,87.69,231.18,7.50,30.8246,10.6,Original Screenplay
,Saw IV,Independent,18,70,Escape,Horror,3183,9976,63.30,76.05,139.35,10.00,13.9353,31.7,
,Waitress,Independent,89,67,Love,Romance,605,3327,19.07,3.10,22.18,2.00,11.0897,2,
,Superbad,Sony,88,87,Comedy,Comedy,2948,11211,121.46,48.41,169.87,20.00,8.4936,33,
,The Simpsons Movie,Fox,90,78,Maturation,Comedy,3922,18877,183.14,343.93,527.07,75.00,7.0276,74,
,300,Warner Bros.,60,90,Sacrifice,Action,3103,22844,210.61,245.45,456.07,65.00,7.0164,70.9,
,The Game Plan,Disney,27,75,Discovery,Comedy,3103,7396,90.64,57.23,147.87,22.00,6.7213,22.9,
,Knocked Up,Universal,91,83,Love,Comedy,2871,10690,148.77,70.23,219.00,33.00,6.6364,30.7,
,No Country for Old Men,Paramount,95,84,Pursuit,Drama,860,9042,74.28,86.72,161.00,25.00,6.4400,7.8,"Best Picture, Director, Supporting Actor, Adapted Screenplay"
,Harry Potter and the Order of the Phoenix,Warner Bros.,78,82,Quest,Adventure,4285,17998,292,647.88,939.88,150,6.2659,77.1,
,Disturbia,Paramount,67,75,Pursuit,Thriller,2925,7598,80.21,37.55,117.76,20.00,5.8880,22.2,
,Hitman,Fox,15,61,Quest,Action,2458,5362,39.69,60.28,99.96,17.50,5.7122,13.2,
,Stomp the Yard,Independent,27,83,Maturation,Musical,2051,10645,61.36,14.15,75.51,14.00,5.3937,21.9,
,Alvin and the Chipmunks,Fox,26,73,Comedy,Animation,3475,12750,217.33,143.14,360.47,70.00,5.1495,44.3,
