exclude,Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget ,Market Profitability,Opening Weekend,Oscar,Bafta,Source,,Domestic Gross,Foreign Gross,worldwide,Budget,budget 
,,,,,,,,($),($m),($m),($m),,% of budget recovered,,,,all boxofficemojo.com except otherwise stated,,($m),($m),($m),($m),
,Average,,46,,,,,,59.62,75.72,124.34,50.19,3.3703,19.60,,,,,,,,,
,"10,000 B.C.",Warner Bros.,9,44,Rescue,Adventure,3410,10518,94.78,175.00,269.10,105.00,2.5629,35.9,,,,,94784201,,269.1,105000000,105
y,21,,35,73,quest,Crime,2648,9103,81.16,,157.90,35.00,4.5114,24.1,,,,,81159365,,157.9,35000000,35
,27 Dresses,Fox,40,71,Love,Comedy,3057,7526,76.81,83.50,160.30,30.00,5.3433,23.01,,,,,76808654,,160.3,30000000,30
y,88 Minutes,,5,51,The Riddle,Drama,2168,3209,16.93,,32.30,30.00,1.0767,7,,,,,16930884,,32.3,30000000,30
y,Appaloosa,,77,55,Rescue,Action,,,20.07,,25.90,20.00,1.2950,5,,,,,20070952,,25.9,20000000,20
,Australia,Fox,55,69,Fish Out of Water,Adventure,2642,5602,46.69,161.80,129.40,78.00,1.6590,14.8,,,,,46694000,,129.4,78000000,78
,Baby Mama,Independent,63,59,Discovery,Comedy,2543,6845,60.32,3.70,63.90,70.00,0.9129,17.41,,,,,60321790,,63.9,70000000,70
y,Babylon A.D.,,7,32,quest,Action,3390,2798,22.53,,70.60,45.00,1.5689,9.5,,,,,22531698,,70.6,45000000,45
y,Bangkok Dangerous,,9,33,pursuit,Action,2650,2937,15.30,,39.40,45.00,0.8756,7.8,,,,,15298133,,39.4,45000000,45
y,"Be Kind, Rewind",,65,57,Comedy,Comedy,808,5013,11.18,,29.30,20.00,1.4650,4.05,,,,,11175164,,29.3,20000000,20
,Bedtime Stories,Disney,25,63,rivalry,Comedy,3681,7457,85.35,102.77,85.40,80.00,1.0675,27.5,,,,,85351000,,85.4,80000000,80
,Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,3215,9114,93.12,54.76,116.00,20.00,5.8000,29.3,,,,,93118082,,116,20000000,20
,Body of Lies,Warner Bros.,53,65,Temptation,Action,2710,4754,39.19,75.70,17.50,67.50,0.2593,12.9,,,,,39189913,,17.5,67500000,67.5
,Bolt,Disney,89,76,rescue,Animation,3651,7182,109.90,195.93,289.30,150.00,1.9287,26.2,,,,,109897000,,289.3,150000000,150
,Burn After Reading,Relativity Media,78,64,Comedy,Comedy,2651,7215,60.36,103.36,154.80,37.00,4.1838,19.13,,,,,60355347,,154.8,37000000,37
y,Cadillac Records,,67,64,Rags to Riches,Biography,687,5015,8.14,,8.88,12.00,0.7400,3.4,,,,,8138000,,,12000000,12
