exclude,Film,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend Revenue,Oscar
,Average,,46.97,57.53,,,2622.62,8464.41,73.59,86.53,160.55,53.63,87.38,21.76,
,2012,Sony,39,63,Escape,Action,3404,19165,165.60,602.40,767.90,200,3.8395,65.3,
,(500) Days of Summer,Fox,87,81,Love,Comedy,817,4577,48.30,9.30,58.60,7.5,7.8133,3.8,
,17 Again,Independent,55,70,Maturation,Comedy,3255,7288,64.20,72.10,136.30,20,6.8150,23.7,
,A Christmas Carol,Disney,52,72,Transformation,Animation,3683,8159,137.90,185.70,323.60,190,1.7032,30.1,
,A Serious Man,Universal,89,64,Love,Drama,6,41890,9.20,7.10,20.50,7,2.9286,0.3,
,Alvin and the Chipmunks: The Squeakquel,Independent,21,59,Comedy,Animation,3700,13210,219.50,221.30,440.70,75,5.8760,48.8,
,Angels & Demons,Sony,36,65,The Riddle,Mystery,3527,13100,133.40,352.60,485.90,150,3.2393,46.2,
,Avatar,Fox,83,92,Metamorphosis,Action,3452,22313,743.80,1969.00,2712.85,237,11.4466,77,
,Bride Wars,Fox,11,56,Comedy,Comedy,3226,6528,100.40,13.40,114.70,30,3.8233,21.1,
,Bruno,Universal,68,48,Comedy,Comedy,2756,11110,60.10,70.70,130.80,42,3.1143,30.6,
,Cloudy with a Chance of Meatballs,Sony,86,70,Comedy,Animation,3119,9716,124.90,87.80,212.70,100,2.1270,30.3,
,Coraline,Universal,89,77,Journey and Return,Animation,2299,7329,75.30,46.60,121.90,60,2.0317,16.8,
,Couples Retreat,Universal,12,47,Comedy,Comedy,3000,11429,109.20,57.20,166.40,60,2.7733,34.3,
,District 9,Independent,91,81,Metamorphosis,Action,3049,12251,115.60,89.20,204.80,30,6.8267,37.4,
,Drag Me to Hell,Universal,92,61,Monster Force,Horror,2508,6310,77.20,8.10,86.70,30,2.8900,15.8,
,Fame,MGM,25,43,Maturation,Comedy,3096,3234,22.50,55.50,78.00,18,4.3333,10,
,Fast and Furious,Universal,28,76,Revenge,Action,3461,20500,155.10,188.00,343.00,85,4.0353,70.9,
,Friday the 13th,Paramount,25,52,Monster Force,Horror,3105,13066,65.00,26.40,91.40,19,4.8105,40.6,
,G-Force,Disney,22,50,Comedy,Action,3697,8576,119.40,165.60,285.10,82.5,3.4558,31.7,
,G.I. Joe: The Rise of Cobra,Paramount,33,62,Pursuit,Action,4007,13654,150.20,151.90,302.10,175,1.7263,54.7,
,Hannah Montana: The Movie,Disney,44,66,Maturation,Comedy,3118,10367,79.58,70.52,150.09,35,4.2883,32.3,
,Harry Potter and the Half-Blood Prince,Warner Bros.,83,75,Quest,Adventure,4325,17997,302.00,632.00,934.00,250,3.7360,77.8,
,He's Just Not That Into You,Warner Bros.,42,60,Love,Comedy,3175,8751,94.00,84.50,178.40,25,7.1360,27.8,
,Ice Age: Dawn of the Dinosaurs,Fox,45,72,Quest,Animation,4099,10171,196.60,687.90,884.50,90,9.8278,41.7,
,Inglourious Basterds,Universal,88,87,Underdog,Adventure,3135,12024,120.50,193.00,313.60,70,4.4800,38,Supporting Actor
,Inkheart,Warner Bros.,39,51,Quest,Adventure,2655,2862,43.30,16.90,62.50,60,1.0417,7.6,
,Invictus,Warner Bros.,75,74,Underdog,Biography,2125,4052,38.10,11.60,53.90,60,0.8983,8.6,
,It's Complicated,Universal,56,63,Love,Comedy,2887,7655,112.73,105.40,218.10,75,2.9080,22.1,
,Knowing,Independent,33,50,Escape,Drama,3332,7384,146.30,37.00,183.30,50,3.6660,24.6,
,Monsters Vs. Aliens,Paramount,72,65,Monster Force,Animation,4104,14454,198.40,183.20,381.50,175,2.1800,59.3,
,My Bloody Valentine 3-D,Lionsgate,57,48,Pursuit,Crime,2534,8383,38.60,60.80,100.00,14,7.1429,21.2,
,Night at the Museum: Battle of the Smithsonian,Fox,43,60,Quest,Action,4096,13226,177.20,235.80,413.00,150,2.7533,54.2,
,Notorious,Fox,50,66,Tragedy,Biography,1638,12514,20.40,19.00,40.50,19,2.1316,20.5,
,Obsessed,Sony,20,50,Rivalry,Drama,2514,11318,41.00,32.40,73.80,20,3.6900,28.6,
,Paranormal Activity,Independent,82,56,Monster Force,Horror,760,25813,107.92,63.41,171.30,0.015,11420.0000,19.6,
,Paul Blart: Mall Cop,Sony,33,50,Comedy,Action,3144,10125,80.00,103.30,183.30,26,7.0500,31.8,
,Planet 51,Independent,22,45,Comedy,Animation,3035,4048,51.90,19.60,73.40,50,1.4680,12.3,
,Saw VI,Independent,40,67,Escape,Horror,3036,4650,31.80,17.00,49.30,11,4.4818,14.1,
,Sherlock Holmes,Warner Bros.,70,81,The Riddle,Action,3626,17183,197.60,197.00,394.60,90,4.3844,62.3,
,Star Trek,Paramount,94,91,Revenge,Action,3849,19539,257.70,127.80,385.50,140,2.7536,75.2,
,Taken,Independent,58,83,Pursuit,Action,3183,7765,145.00,81.80,226.80,25,9.0720,24.7,
,Terminator Salvation,Independent,33,64,Monster Force,Action,3530,12056,125.30,246.70,372.00,200,1.8600,42.6,
,The Blind Side,Independent,65,90,Rags To Riches,Biography,3110,10971,255.80,39.30,295.10,29,10.1759,34.1,Best Actress
,Fantastic Mr. Fox,Fox,93,80,Rivalry,Animation,2033,3426,20.50,21.80,42.78,40,1.0695,7,
,The Final Destination,Warner Bros.,29,52,Escape,Horror,3121,8782,66.50,86.10,152.60,40,3.8150,27.4,
,The Hangover,Warner Bros.,79,87,Comedy,Comedy,3269,13759,277.30,190.00,467.30,35,13.3514,45,
,The Hurt Locker,Independent,97,83,Quest,Drama,4,36338,14.70,3.40,18.10,15,1.2067,0.14,"Best Picture, Director, Original Screenplay"
,The Lovely Bones,Paramount,32,57,Tragedy,Drama,2563,6635,44.00,48.30,92.30,65,1.4200,17,
,The Men Who Stare at Goats,Independent,52,43,Comedy,Comedy,2443,5201,32.40,15.80,48.20,24,2.0083,12.7,
,The Proposal,Disney,43,74,Love,Comedy,3056,11004,164.00,150.70,314.70,40,7.8675,33.6,
,The Road,The Weinstein Company,75,65,Quest,Adventure,111,13534,7.90,6.50,14.30,25,0.5720,1.5,
,The Taking of Pelham 1 2 3,Sony,51,60,Rescue,Action,3074,7603,65.50,84.60,150.00,110,1.3636,4.7,
,The Time Traveler's Wife,Paramount,38,65,Love,Drama,2988,6233,40.60,37.60,79.70,39,2.0436,18.6,
,The Twilight Saga: New Moon,Summit,27,78,Love,Drama,4024,35497,293.80,410.30,704.20,50,14.0840,142.8,
,The Ugly Truth,Independent,14,68,Love,Comedy,2882,9579,88.90,116.40,205.30,38,5.4026,27.6,
,The Unborn,Relativity Media,11,39,Monster Force,Horror,2357,8405,35.90,40.00,76.50,16,4.7813,19.8,
,Transformers: Revenge of the Fallen,Paramount,20,76,Revenge,Action,4234,25736,402.10,434.20,836.30,210,3.9824,109,
,Underworld: Rise of the Lycans,Sony,30,68,Rivalry,Action,2942,7080,37.00,50.80,91.10,35,2.6029,20.8,
