exclude,Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),
,Average,,46.97,57.53,,,2622.62,8464.41,73.59,86.53,160.55,53.63,87.38,21.76,
y,9,,57,58,Sacrifice,Animation,1661,10398,29.60,18.00,48.00,30,1.6000,10.7,
,2012,Sony,39,63,Escape,Action,3404,19165,165.60,602.40,767.90,200,3.8395,65.3,
,(500) Days of Summer ,Fox,87,81,Love,Comedy,817,4577,48.30,9.30,58.60,7.5,7.8133,3.8,
y,12 Rounds ,,30,52,Rescue,Action,2331,2286,16.00,1.10,17.10,20,0.8550,5.3,
,17 Again ,Independent,55,70,Maturation,Comedy,3255,7288,64.20,72.10,136.30,20,6.8150,23.7,
,A Christmas Carol,Disney,52,72,Transformation,Animation,3683,8159,137.90,185.70,323.60,190,1.7032,30.1,
y,A Perfect Getaway ,,61,50,Escape,Mystery,2159,2755,15.50,6.70,22.20,14,1.5857,5.9,
,A Serious Man ,Universal,89,64,Love,Drama,6,41890,9.20,7.10,20.50,7,2.9286,0.3,
y,Adventureland ,,89,56,Maturation,Comedy,1862,3073,16.04,0.01,16.05,9.5,1.6895,5.7,
y,Aliens in the Attic ,,30,46,Monster Force,Adventure,3106,2578,25.20,24.35,59.55,45,1.3233,8,
y,All About Steve ,,6,35,Comedy,Comedy,2251,4994,33.86,4.07,37.93,15,2.5287,11.2,
,Alvin and the Chipmunks: The Squeakquel ,Independent,21,59,Comedy,Animation,3700,13210,219.50,221.30,440.70,75,5.8760,48.8,
y,Amelia ,,21,35,Quest,Adventure,820,4761,14.20,5.00,19.20,40,0.4800,3.9,
,Angels & Demons ,Sony,36,65,The Riddle,Mystery,3527,13100,133.40,352.60,485.90,150,3.2393,46.2,
y,Armored ,,40,34,Temptation,Action,1915,3400,16.00,0.00,16.00,20,0.8000,6.5,
y,Astro Boy ,,49,53,Quest,Animation,3014,2224,19.55,12.04,31.59,65,0.4860,6.7,
,Avatar ,Fox,83,92,Metamorphosis,Action,3452,22313,743.80,1969.00,2712.85,237,11.4466,77,
y,Away We Go ,,67,74,Discovery,Comedy,4,32603,9.50,0.77,10.20,21,0.4857,0.13,
y,Bandslam ,,79,60,Maturation,Comedy,2121,1052,5.20,6.90,12.10,20,0.6050,2.2,
,Bride Wars ,Fox,11,56,Comedy,Comedy,3226,6528,100.40,13.40,114.70,30,3.8233,21.1,
y,Brothers ,,61,62,Transformation,Drama,2088,4563,28.50,11.00,39.50,26,1.5192,9.5,
