,Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar,Bafta,Source
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,
,Average,,,,,,,,73.59,86.53,160.55,53.63,87.3799,21.76,,,
y,9,,57,58,Sacrifice,Animation,1661,10398,29.600000000000000,18.00,48.00,30,1.6000,10.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
,2012,Sony,39,63,Escape,Action,3404,19165,165.600000000000000,602.40,767.90,200,3.8395,65.3,,,http://boxofficemojo.com/movies/?id=2012.htm
,(500) Days of Summer ,Fox,87,81,Love,Comedy,817,4577,48.300000000000000,9.30,58.60,7.5,7.8133,3.8,,,http://boxofficemojo.com/movies/?id=500daysofsummer.htm
y,12 Rounds ,,30,52,Rescue,Action,2331,2286,16.000000000000000,1.10,17.10,20,0.8550,5.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
,17 Again ,Independent,55,70,Maturation,Comedy,3255,7288,64.200000000000000,72.10,136.30,20,6.8150,23.7,,,http://www.darkhorizons.com/films/134/17-Again
,A Christmas Carol,Disney,52,72,Transformation,Animation,3683,8159,137.900000000000000,185.70,323.60,190,1.7032,30.1,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,A Perfect Getaway ,,61,50,Escape,Mystery,2159,2755,15.500000000000000,6.70,22.20,14,1.5857,5.9,,,http://www.the-numbers.com/movies/records/allbudgets.php
,A Serious Man ,Universal,89,64,Love,Drama,6,41890,9.200000000000000,7.10,20.50,7,2.9286,0.3,,,http://www.the-numbers.com/movies/2009/ASERM.php
y,Adventureland ,,89,56,Maturation,Comedy,1862,3073,16.040000000000000,0.01,16.05,9.5,1.6895,5.7,,,http://www.the-numbers.com/movies/2009/ADVNL.php
y,Aliens in the Attic ,,30,46,Monster Force,Adventure,3106,2578,25.200000000000000,24.35,59.55,45,1.3233,8,,,http://www.the-numbers.com/movies/2009/ANATC.php
y,All About Steve ,,6,35,Comedy,Comedy,2251,4994,33.860000000000000,4.07,37.93,15,2.5287,11.2,,,http://www.the-numbers.com/movies/2009/ABSTV.php
,Alvin and the Chipmunks: The Squeakquel ,Independent,21,59,Comedy,Animation,3700,13210,219.500000000000000,221.30,440.70,75,5.8760,48.8,,,http://www.the-numbers.com/movies/2009/ALVN2.php
y,Amelia ,,21,35,Quest,Adventure,820,4761,14.200000000000000,5.00,19.20,40,0.4800,3.9,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Angels & Demons ,Sony,36,65,The Riddle,Mystery,3527,13100,133.400000000000000,352.60,485.90,150,3.2393,46.2,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Armored ,,40,34,Temptation,Action,1915,3400,16.000000000000000,0.00,16.00,20,0.8000,6.5,,,http://boxofficemojo.com/movies/?id=armored.htm
y,Astro Boy ,,49,53,Quest,Animation,3014,2224,19.550000000000000,12.04,31.59,65,0.4860,6.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Avatar ,Fox,83,92,Metamorphosis,Action,3452,22313,743.800000000000000,"1,969.00","2,712.85",237,11.4466,77,,,http://www.the-numbers.com/movies/2009/AVATR.php
y,Away We Go ,,67,74,Discovery,Comedy,4,32603,9.500000000000000,0.77,10.20,21,0.4857,0.13,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Bandslam ,,79,60,Maturation,Comedy,2121,1052,5.200000000000000,6.90,12.10,20,0.6050,2.2,,,http://en.wikipedia.org/wiki/Bandslam
,Bride Wars ,Fox,11,56,Comedy,Comedy,3226,6528,100.400000000000000,13.40,114.70,30,3.8233,21.1,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Brothers ,,61,62,Transformation,Drama,2088,4563,28.500000000000000,11.00,39.50,26,1.5192,9.5,,,http://boxofficemojo.com/movies/?id=brothers09.htm
,Bruno ,Universal,68,48,Comedy,Comedy,2756,11110,60.100000000000000,70.70,130.80,42,3.1143,30.6,,,http://www.the-numbers.com/movies/2009/BRUNO.php
y,Cirque du Freak: The Vampire's Assistant ,,38,50,Discovery,Action,2754,2285,13.900000000000000,14.30,28.20,40,0.7050,6.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Cloudy with a Chance of Meatballs ,Sony,86,70,Comedy,Animation,3119,9716,124.900000000000000,87.80,212.70,100,2.1270,30.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Confessions of a Shopaholic ,,24,53,Comedy,Comedy,2507,6010,44.270000000000000,63.57,108.30,70,1.5471,15,,,http://www.the-numbers.com/movies/2009/SHOPA.php
,Coraline ,Universal,89,77,Journey and Return,Animation,2299,7329,75.300000000000000,46.60,121.90,60,2.0317,16.8,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Couples Retreat ,Universal,12,47,Comedy,Comedy,3000,11429,109.200000000000000,57.20,166.40,60,2.7733,34.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Crank: High Voltage ,,62,54,"Pursuit
",Action,2223,3133,13.700000000000000,20.80,34.50,12.9,2.6744,7,,,http://www.boxofficemojo.com/movies/?id=crank2.htm
y,Dance Flick ,,17,35,Comedy,Action,2450,4344,25.660000000000000,6.43,32.09,25,1.2836,10.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Did You Hear About the Morgans? ,,12,31,Comedy,Comedy,2718,2434,6.100000000000000,41.30,47.50,58,0.8190,6.6,,,http://boxofficemojo.com/movies/?id=grantparker09.htm
,District 9 ,Independent,91,81,Metamorphosis,Action,3049,12251,115.600000000000000,89.20,204.80,30,6.8267,37.4,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Drag Me to Hell ,Universal,92,61,Monster Force,Horror,2508,6310,77.200000000000000,8.10,86.70,30,2.8900,15.8,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Dragonball Evolution ,,15,28,Quest,Action,2181,2181,9.360000000000000,48.87,58.23,30,1.9410,4.8,,,http://www.the-numbers.com/movies/2009/DRGNB.php
y,Duplicity ,,64,38,Rivalry,Romance,2574,5425,55.400000000000000,21.40,78.10,60,1.3017,14,,,http://boxofficemojo.com/movies/?id=duplicity.htm
y,Everybody's Fine ,,46,55,Discovery,Drama,2133,1806,9.200000000000000,4.70,13.90,21,0.6619,3.9,,,http://boxofficemojo.com/movies/?id=everybodysfine09.htm
y,Extract ,,62,37,Comedy,Comedy,1611,2694,8.800000000000000,2.00,10.80,7.5,1.4400,4.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Fame,MGM,25,43,Maturation,Comedy,3096,3234,22.500000000000000,55.50,78.00,18,4.3333,10,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Fast and Furious ,Universal,28,76,Revenge,Action,3461,20500,155.100000000000000,188.00,343.00,85,4.0353,70.9,,,http://boxofficemojo.com/movies/?id=fastandthefurious4.htm
y,Fired Up! ,,22,52,Comedy,Comedy,1810,3030,17.200000000000000,1.40,18.60,20,0.9300,5.5,,,http://boxofficemojo.com/movies/?id=firedup.htm
,Friday the 13th,Paramount,25,52,Monster Force,Horror,3105,13066,65.000000000000000,26.40,91.40,19,4.8105,40.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Funny People ,,68,58,Transformation,Comedy,,,22.500000000000000,47.30,71.50,70,1.0214,22.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
,G-Force ,Disney,22,50,Comedy,Action,3697,8576,119.400000000000000,165.60,285.10,82.5,3.4558,31.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
,G.I. Joe: The Rise of Cobra ,Paramount,33,62,Pursuit,Action,4007,13654,150.200000000000000,151.90,302.10,175,1.7263,54.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Gamer ,,29,43,Revenge,Action,2502,3659,20.530000000000000,14.53,35.10,12.5,2.8080,9.2,,,http://www.the-numbers.com/movies/2009/CGAME.php
y,Ghosts of Girlfriends Past ,,27,47,Love,Comedy,3175,4854,51.500000000000000,48.40,101.90,50,2.0380,15.4,,,http://www.the-numbers.com/interactive/newsStory.php?newsID=4189
y,Halloween II,,20,45,Escape,Horror,3025,5405,31.700000000000000,5.80,37.70,15,2.5133,16.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Hannah Montana: The Movie ,Disney,44,66,Maturation,Comedy,3118,10367,79.580000000000000,70.52,150.09,35,4.2883,32.3,,,http://www.the-numbers.com/movies/2009/HANNA.php
,Harry Potter and the Half-Blood Prince ,Warner Bros.,83,75,Quest,Adventure,4325,17997,302.000000000000000,632.00,934.00,250,3.7360,77.8,,,http://www.the-numbers.com/movies/records/allbudgets.php
,He's Just Not That Into You ,Warner Bros.,42,60,Love,Comedy,3175,8751,94.000000000000000,84.50,178.40,25,7.1360,27.8,,,http://en.wikipedia.org/wiki/He's_Just_Not_That_into_You_(film)
y,Hotel for Dogs ,,46,57,Comedy,Comedy,3271,5201,73.000000000000000,45.20,118.20,35,3.3771,17,,,http://www.the-numbers.com/movies/2009/HTLDG.php
y,I Love You Beth Cooper ,,14,38,Comedy,Comedy,1856,2648,14.800000000000000,0.94,15.70,18,0.8722,4.9,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,"I Love You, Man ",,83,72,Comedy,Comedy,2711,6570,71.400000000000000,20.00,91.40,30,3.0467,17.8,,,http://boxofficemojo.com/movies/?id=iloveyouman.htm
,Ice Age: Dawn of the Dinosaurs ,Fox,45,72,Quest,Animation,4099,10171,196.600000000000000,687.90,884.50,90,9.8278,41.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Imagine That ,,38,44,Comedy,Comedy,3008,1830,16.120000000000000,6.86,22.99,55,0.4180,5.5,,,http://boxofficemojo.com/movies/?id=imaginethat.htm
,Inglourious Basterds ,Universal,88,87,Underdog,Adventure,3135,12024,120.500000000000000,193.00,313.60,70,4.4800,38,Supporting Actor,Supporting Actor,http://www.the-numbers.com/movies/records/allbudgets.php
,Inkheart ,Warner Bros.,39,51,Quest,Adventure,2655,2862,43.300000000000000,16.90,62.50,60,1.0417,7.6,,,http://boxofficemojo.com/movies/?id=inkheart.htm
,Invictus,Warner Bros.,75,74,Underdog,Biography,2125,4052,38.100000000000000,11.60,53.90,60,0.8983,8.6,,,http://boxofficemojo.com/movies/?id=eastwood09.htm
,It's Complicated ,Universal,56,63,Love,Comedy,2887,7655,112.730000000000000,105.40,218.10,75,2.9080,22.1,,,http://www.the-numbers.com/movies/2009/CMPLC.php
y,Jennifer's Body ,,42,37,Monster Force,Comedy,2702,2542,16.200000000000000,2.60,18.80,16,1.1750,6.9,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Julie & Julia ,,74,69,Underdog,Biography,2354,8508,73.000000000000000,43.90,118.60,40,2.9650,20,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Knowing ,Independent,33,50,Escape,Drama,3332,7384,146.300000000000000,37.00,183.30,50,3.6660,24.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Land of the Lost ,,26,38,Journey and Return,Drama,3521,5350,1.500000000000000,66.40,68.80,100,0.6880,18.8,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Law Abiding Citizen ,,25,77,Revenge,Crime,2890,7280,73.400000000000000,29.10,102.50,53,1.9340,21,,,http://www.the-numbers.com/movies/2009/LACTZ.php
y,Love Happens ,,18,40,Love,Drama,1898,4245,22.900000000000000,11.20,33.10,18,1.8389,8.1,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Michael Jackson's This Is It ,,81,82,Tragedy,Documentary,3481,6675,72.100000000000000,180.00,252.01,60,4.2002,23.3,,,http://www.the-numbers.com/movies/2009/JACKO.php
,Monsters Vs. Aliens ,Paramount,72,65,Monster Force,Animation,4104,14454,198.400000000000000,183.20,381.50,175,2.1800,59.3,,,http://boxofficemojo.com/movies/?id=monstersvsaliens.htm
,My Bloody Valentine 3-D ,Lionsgate,57,48,Pursuit,Crime,2534,8383,38.600000000000000,60.80,100.00,14,7.1429,21.2,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,My Life in Ruins ,,9,43,Comedy,Comedy,1164,2769,8.670000000000000,9.34,18.01,17,1.0594,3.2,,,http://www.the-numbers.com/movies/2009/MLFRU.php
y,My Sister's Keeper ,,47,73,Escape,Drama,2606,4774,71.400000000000000,20.00,91.70,27.5,3.3345,12.4,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Next Day Air ,,21,27,Comedy,Action,1138,3613,10.000000000000000,0.00,10.00,3,3.3333,4.1,,,http://en.wikipedia.org/wiki/Next_Day_Air
,Night at the Museum: Battle of the Smithsonian ,Fox,43,60,Quest,Action,4096,13226,177.200000000000000,235.80,413.00,150,2.7533,54.2,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Nine ,,37,40,Discovery,Drama,1412,3862,19.200000000000000,10.30,29.50,80,0.3688,5.45,,,http://boxofficemojo.com/movies/?id=nine.htm
y,Ninja Assassin ,,25,57,Revenge,Action,2503,5320,27.700000000000000,21.60,49.80,50,0.9960,13.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Not Easily Broken ,,34,66,Love,Drama,724,7340,10.600000000000000,0.14,10.70,5,2.1400,5.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Notorious,Fox,50,66,Tragedy ,Biography,1638,12514,20.400000000000000,19.00,40.50,19,2.1316,20.5,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Observe and Report ,,51,40,Comedy,Comedy,2727,4040,24.000000000000000,0.87,24.90,18,1.3833,11,,,http://boxofficemojo.com/movies/?id=observeandreport.htm
,Obsessed ,Sony,20,50,Rivalry,Drama,2514,11318,41.000000000000000,32.40,73.80,20,3.6900,28.6,,,http://boxofficemojo.com/movies/?id=obsessed.htm
y,Old Dogs ,,5,49,Comedy,Comedy,3425,4933,9.400000000000000,48.10,57.60,35,1.6457,16.9,,,http://boxofficemojo.com/movies/?id=olddogs.htm
y,Orphan ,,55,65,Escape,Horror,2750,4681,68.300000000000000,5.50,75.80,30,2.5267,12.8,,,http://www.the-numbers.com/interactive/newsStory.php?newsID=4328
y,Pandorum ,,28,49,Monster Force,Action,2506,1765,10.300000000000000,6.70,17.00,40,0.4250,4.4,,,http://www.the-numbers.com/movies/2009/PNDRM.php
,Paranormal Activity ,Independent,82,56,Monster Force,Horror,760,25813,107.920000000000000,63.41,171.30,0.015,11420.0000,19.6,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Paul Blart: Mall Cop ,Sony,33,50,Comedy,Action,3144,10125,80.000000000000000,103.30,183.30,26,7.0500,31.8,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,"Pirate Radio (The Boat that Rocked, UK)",,60,72,Comedy,Comedy,882,3293,33.300000000000000,2.20,36.30,50,0.7260,2.9,,,http://boxofficemojo.com/movies/?id=boatthatrocked.htm
,Planet 51 ,Independent,22,45,Comedy,Animation,3035,4048,51.900000000000000,19.60,73.40,50,1.4680,12.3,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Post Grad ,,7,31,Maturation,Comedy,1959,1354,6.380000000000000,0.00,6.38,15,0.4253,2.6,,,http://www.the-numbers.com/movies/2009/POSTG.php
y,Public Enemies ,,67,65,Underdog,Biography,3334,7580,97.100000000000000,117.00,214.10,102.5,2.0888,25.2,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Push ,,22,47,Quest,Action,2313,4358,31.700000000000000,12.60,44.40,38,1.1684,10.1,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Race to Witch Mountain ,,42,50,Quest,Action,3187,7651,67.170000000000000,37.93,105.10,50,2.1020,24.4,,,http://www.the-numbers.com/movies/2009/WCMTN.php
,Saw VI ,Independent,40,67,Escape,Horror,3036,4650,31.800000000000000,17.00,49.30,11,4.4818,14.1,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Sherlock Holmes ,Warner Bros.,70,81,The Riddle,Action,3626,17183,197.600000000000000,197.00,394.60,90,4.3844,62.3,,,http://boxofficemojo.com/movies/?id=sherlockholmes.htm
y,Sorority Row ,,22,38,Pursuit,Horror,2665,1899,11.970000000000000,1.60,13.56,12.5,1.0848,5.1,,,http://www.the-numbers.com/movies/records/allbudgets.php
,Star Trek ,Paramount,94,91,Revenge,Action,3849,19539,257.700000000000000,127.80,385.50,140,2.7536,75.2,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,State of Play ,,84,71,The Riddle,Crime,2803,5020,37.020000000000000,51.32,88.30,60,1.4717,14.1,,,http://www.the-numbers.com/movies/2009/STPLY.php
y,Street Fighter: The Legend of Chun-Li ,,16,28,Revenge,Action,1136,4156,9.140000000000000,3.20,12.34,50,0.2468,4.7,,,http://www.the-numbers.com/movies/2009/STRFT.php
y,Sunshine Cleaning ,,72,59,Transformation,Comedy,,,12.100000000000000,2.50,14.60,5,2.9200,0.9,,,http://www.the-numbers.com/movies/2009/SUNCL.php
y,Surrogates ,,39,42,Pursuit,Action,2951,5050,73.300000000000000,24.00,99.40,80,1.2425,14.9,,,http://boxofficemojo.com/movies/?id=surrogates.htm
,Taken ,Independent,58,83,Pursuit,Action,3183,7765,145.000000000000000,81.80,226.80,25,9.0720,24.7,,,http://www.the-numbers.com/movies/records/allbudgets.php
y,Taking Woodstock ,,48,48,Quest,Comedy,1393,2482,7.500000000000000,2.50,9.90,29,0.3414,3.5,,,http://www.the-numbers.com/movies/records/allbudgets.php
